,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry
KMB,Consumer Staples,Household & Personal Products,Household Products,Household Products
KIM,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
KMI,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Storage & Transportation
KNSL,Financials,Insurance,Insurance,Property & Casualty Insurance
KEX,Industrials,Transportation,Marine,Marine
KRG,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
KREF,Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
KLAC,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
KNX,Industrials,Transportation,Road & Rail,Trucking
KN,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Components
KSS,Consumer Discretionary,Retailing,Multiline Retail,Department Stores
KTB,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
KOP,Materials,Materials,Chemicals,Commodity Chemicals
KFY,Industrials,Commercial & Professional Services,Professional Services,Human Resource & Employment Services
KRA,Materials,Materials,Chemicals,Specialty Chemicals
KLIC,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
LB,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
LHX,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
LH,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
LRCX,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
LAMR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
LW,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
LANC,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
LSTR,Industrials,Transportation,Road & Rail,Trucking
LCI,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
LNTH,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
LPI,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
LVS,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Casinos & Gaming
LZB,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings
LCII,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
LEA,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
LEG,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings
LDOS,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
LMAT,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
TREE,Financials,Diversified Financials,Consumer Finance,Consumer Finance
LEN,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
LII,Industrials,Capital Goods,Building Products,Building Products
LXP,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Industrial REITs
LGIH,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
LHCG,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
LSI,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
LGND,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
LECO,Industrials,Capital Goods,Machinery,Industrial Machinery
LNC,Financials,Insurance,Insurance,Life & Health Insurance
LIN,Materials,Materials,Chemicals,Industrial Gases
LNN,Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery
LQDT,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
LAD,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
LFUS,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Components
LIVN,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
LYV,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
LTHM,Materials,Materials,Chemicals,Specialty Chemicals
LPSN,Information Technology,Software & Services,Software,Application Software
RAMP,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
LKQ,Consumer Discretionary,Retailing,Distributors,Distributors
LMT,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
L,Financials,Insurance,Insurance,Property & Casualty Insurance
LPX,Materials,Materials,Paper & Forest Products,Forest Products
LOW,Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail
LTC,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
LL,Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail
LUMN,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Alternative Carriers
LITE,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
LMNX,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
LDL,Industrials,Capital Goods,Machinery,Industrial Machinery
LYB,Materials,Materials,Chemicals,Commodity Chemicals
MTB,Financials,Banks,Banks,Regional Banks
MDC,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
MHO,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
CLI,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
M,Consumer Discretionary,Retailing,Multiline Retail,Department Stores
MGLN,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
MANH,Information Technology,Software & Services,Software,Application Software
MAN,Industrials,Commercial & Professional Services,Professional Services,Human Resource & Employment Services
MANT,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
MRO,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
MPC,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing
MMI,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Services
HZO,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
MKTX,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
MAR,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Hotels Resorts & Cruise Lines
VAC,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Hotels Resorts & Cruise Lines
MMC,Financials,Insurance,Insurance,Insurance Brokers
MRTN,Industrials,Transportation,Road & Rail,Trucking
MLM,Materials,Materials,Construction Materials,Construction Materials
MAS,Industrials,Capital Goods,Building Products,Building Products
MASI,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
MTZ,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
MA,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
MTDR,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
MTRN,Materials,Materials,Metals & Mining,Diversified Metals & Mining
MTRX,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
MATX,Industrials,Transportation,Marine,Marine
MAT,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
MATW,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Diversified Support Services
MXIM,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
MMS,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
MXL,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
MKC,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
MCD,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
MCK,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
MDU,Utilities,Utilities,Multi-Utilities,Multi-Utilities
MPW,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
MED,Consumer Staples,Household & Personal Products,Personal Products,Personal Products
MD,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
MEDP,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
MDT,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
MERC,Materials,Materials,Paper & Forest Products,Paper Products
MRK,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
MCY,Financials,Insurance,Insurance,Property & Casualty Insurance
MRCY,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
MDP,Communication Services,Media & Entertainment,Media,Publishing
VIVO,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
MMSI,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
MTH,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
MTOR,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks
MLAB,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
CASH,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
MEI,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Manufacturing Services
MET,Financials,Insurance,Insurance,Life & Health Insurance
MTD,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
MTG,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
MGM,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Casinos & Gaming
MGPI,Consumer Staples,Food Beverage & Tobacco,Beverages,Distillers & Vintners
MCHP,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
MU,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
MSFT,Information Technology,Software & Services,Software,Systems Software
MSTR,Information Technology,Software & Services,Software,Application Software
MAA,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
MTX,Materials,Materials,Chemicals,Specialty Chemicals
MKSI,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
MHK,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings
MOH,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
TAP,Consumer Staples,Food Beverage & Tobacco,Beverages,Brewers
MCRI,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Casinos & Gaming
MDLZ,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
MPWR,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
MNRO,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
MNST,Consumer Staples,Food Beverage & Tobacco,Beverages,Soft Drinks
MCO,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
MOG.A,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
MS,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
MPAA,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
MSI,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
MOV,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
COOP,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
MSA,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Office Services & Supplies
MSM,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
MSCI,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
MTSC,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Equipment & Instruments
MLI,Industrials,Capital Goods,Machinery,Industrial Machinery
MUR,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
MUSA,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
MYE,Materials,Materials,Containers & Packaging,Metal & Glass Containers
MYRG,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
MYGN,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
NBR,Energy,Energy,Energy Equipment & Services,Oil & Gas Drilling
NDAQ,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
NBHC,Financials,Banks,Banks,Regional Banks
FIZZ,Consumer Staples,Food Beverage & Tobacco,Beverages,Soft Drinks
NFG,Utilities,Utilities,Gas Utilities,Gas Utilities
NATI,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Equipment & Instruments
NOV,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
NPK,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
NNN,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
NSA,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
NTUS,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
NAVI,Financials,Diversified Financials,Consumer Finance,Consumer Finance
NBTB,Financials,Banks,Banks,Regional Banks
NCR,Information Technology,Technology Hardware & Equipment,Technology Hardware Storage & Peripherals,Technology Hardware Storage & Peripherals
NP,Materials,Materials,Paper & Forest Products,Paper Products
NKTR,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
NEOG,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
NEO,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
NTAP,Information Technology,Technology Hardware & Equipment,Technology Hardware Storage & Peripherals,Technology Hardware Storage & Peripherals
NFLX,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
NTGR,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
NTCT,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
NJR,Utilities,Utilities,Gas Utilities,Gas Utilities
NYCB,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
NYMT,Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
NWL,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Housewares & Specialties
NEU,Materials,Materials,Chemicals,Specialty Chemicals
NEM,Materials,Materials,Metals & Mining,Gold
NWSA,Communication Services,Media & Entertainment,Media,Publishing
NWS,Communication Services,Media & Entertainment,Media,Publishing
NXRT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
NEE,Utilities,Utilities,Electric Utilities,Electric Utilities
NXGN,Health Care,Health Care Equipment & Services,Health Care Technology,Health Care Technology
EGOV,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
NLSN,Industrials,Commercial & Professional Services,Professional Services,Research & Consulting Services
NKE,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Footwear
NI,Utilities,Utilities,Multi-Utilities,Multi-Utilities
NMIH,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
NDSN,Industrials,Capital Goods,Machinery,Industrial Machinery
JWN,Consumer Discretionary,Retailing,Multiline Retail,Department Stores
NSC,Industrials,Transportation,Road & Rail,Railroads
NTRS,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
NFBK,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
NOC,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
NWBI,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
NWN,Utilities,Utilities,Gas Utilities,Gas Utilities
NWE,Utilities,Utilities,Multi-Utilities,Multi-Utilities
NLOK,Information Technology,Software & Services,Software,Systems Software
NCLH,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Hotels Resorts & Cruise Lines
DNOW,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
NRG,Utilities,Utilities,Electric Utilities,Electric Utilities
NUS,Consumer Staples,Household & Personal Products,Personal Products,Personal Products
NUE,Materials,Materials,Metals & Mining,Steel
NUVA,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
NVT,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
NVDA,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
NVR,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
OXY,Energy,Energy,Oil Gas & Consumable Fuels,Integrated Oil & Gas
OII,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
OPI,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
OFG,Financials,Banks,Banks,Regional Banks
OGE,Utilities,Utilities,Electric Utilities,Electric Utilities
OI,Materials,Materials,Containers & Packaging,Metal & Glass Containers
OIS,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
ODFL,Industrials,Transportation,Road & Rail,Trucking
ONB,Financials,Banks,Banks,Regional Banks
ORI,Financials,Insurance,Insurance,Property & Casualty Insurance
OLN,Materials,Materials,Chemicals,Commodity Chemicals
OLLI,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
ZEUS,Materials,Materials,Metals & Mining,Steel
OHI,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
OMCL,Health Care,Health Care Equipment & Services,Health Care Technology,Health Care Technology
OMC,Communication Services,Media & Entertainment,Media,Advertising
OGS,Utilities,Utilities,Gas Utilities,Gas Utilities
OKE,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Storage & Transportation
OSPN,Information Technology,Software & Services,Software,Systems Software
ONTO,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
ORCL,Information Technology,Software & Services,Software,Systems Software
OSUR,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
ORLY,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
OFIX,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
OSK,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks
OSIS,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Equipment & Instruments
OTIS,Industrials,Capital Goods,Machinery,Industrial Machinery
OMI,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
OC,Industrials,Capital Goods,Building Products,Building Products
OXM,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
PCAR,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks
PPBI,Financials,Banks,Banks,Regional Banks
PCRX,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
PKG,Materials,Materials,Containers & Packaging,Paper Packaging
PACW,Financials,Banks,Banks,Regional Banks
PLMR,Financials,Insurance,Insurance,Property & Casualty Insurance
PZZA,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
PARR,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing
PKE,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
PK,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Hotel & Resort REITs
PRK,Financials,Banks,Banks,Regional Banks
PH,Industrials,Capital Goods,Machinery,Industrial Machinery
PATK,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
PDCO,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
PTEN,Energy,Energy,Energy Equipment & Services,Oil & Gas Drilling
PAYX,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
PAYC,Information Technology,Software & Services,Software,Application Software
PCTY,Information Technology,Software & Services,Software,Application Software
PYPL,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
PBF,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing
CNXN,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Technology Distributors
PDCE,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
PDFS,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
PEB,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Hotel & Resort REITs
PENN,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Casinos & Gaming
PVAC,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
PMT,Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
PNR,Industrials,Capital Goods,Machinery,Industrial Machinery
PEN,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
PBCT,Financials,Banks,Banks,Regional Banks
PEP,Consumer Staples,Food Beverage & Tobacco,Beverages,Soft Drinks
PRDO,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
PRFT,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
PKI,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
PRGO,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
PRSP,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
PETS,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
PFE,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
PGTI,Industrials,Capital Goods,Building Products,Building Products
PAHC,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
PM,Consumer Staples,Food Beverage & Tobacco,Tobacco,Tobacco
PSX,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing
PLAB,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
DOC,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
PPC,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
PNFP,Financials,Banks,Banks,Regional Banks
PNW,Utilities,Utilities,Electric Utilities,Electric Utilities
PXD,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
PIPR,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
PBI,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Office Services & Supplies
PLT,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
PLXS,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Manufacturing Services
PNM,Utilities,Utilities,Electric Utilities,Electric Utilities
PII,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
POOL,Consumer Discretionary,Retailing,Distributors,Distributors
POST,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
PCH,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
POWL,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
POWI,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
PPG,Materials,Materials,Chemicals,Specialty Chemicals
PPL,Utilities,Utilities,Electric Utilities,Electric Utilities
PRAA,Financials,Diversified Financials,Consumer Finance,Consumer Finance
PRAH,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
PFBC,Financials,Banks,Banks,Regional Banks
PBH,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
PSMT,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers
PRI,Financials,Insurance,Insurance,Life & Health Insurance
PFG,Financials,Insurance,Insurance,Life & Health Insurance
PRA,Financials,Insurance,Insurance,Property & Casualty Insurance
PRG,Financials,Diversified Financials,Consumer Finance,Consumer Finance
PRGS,Information Technology,Software & Services,Software,Systems Software
PLD,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Industrial REITs
PUMP,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
PB,Financials,Banks,Banks,Regional Banks
PRLB,Industrials,Capital Goods,Machinery,Industrial Machinery
PFS,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
PRU,Financials,Insurance,Insurance,Life & Health Insurance
PSB,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
PTC,Information Technology,Software & Services,Software,Application Software
PEG,Utilities,Utilities,Multi-Utilities,Multi-Utilities
PSA,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
PHM,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
PVH,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
QEP,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
QRVO,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
KWR,Materials,Materials,Chemicals,Specialty Chemicals
QCOM,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
QLYS,Information Technology,Software & Services,Software,Systems Software
NX,Industrials,Capital Goods,Building Products,Building Products
PWR,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
DGX,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
QDEL,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
QNST,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
RCM,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
RDNT,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
RL,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
RMBS,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
RRC,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
RAVN,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
RJF,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
RYAM,Materials,Materials,Chemicals,Specialty Chemicals
RYN,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
RTX,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
RMAX,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Services
RC,Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
RLGY,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Services
O,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
RRGB,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
RWT,Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
RBC,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
REG,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
REGN,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
RGNX,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
RF,Financials,Banks,Banks,Regional Banks
RGS,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services
RGA,Financials,Insurance,Insurance,Reinsurance
RS,Materials,Materials,Metals & Mining,Steel
RNR,Financials,Insurance,Insurance,Reinsurance
